# type|GoldSrc model basename|cooked clip specification
0|scientist|13:4,0:6,24:6,8:3,31:3,pondering:3,retina:3,beatdoor:3,ceiling_dangle:3,deskidle=pondering,pondering2=pondering,pondering3=pondering,pause=pondering,writeboard=pondering,converse1=pondering,converse2=pondering,push_button=beatdoor,wave=beatdoor,no=pondering,tieshoe=pondering,checktie=pondering,buysoda=pondering,idle1=@0
1|barney|0:4,4:6,6:6,17:3,25:4,sit1:6,standing_idle:2,intropush:8,laseridle:2,laser_top:2,laser_bottom:2,flashlight=standing_idle,cprbarney=sit1,sit2=sit1,sit3=sit1,relaxstand=sit1,almostidle=standing_idle,almost=standing_idle,barn_wave=intropush,c3a2_draw=standing_idle,idle1=@0
2|headcrab|0:4,4:4,10:4,6:2,7:3,idle1=@0
3|w_suit|0
4|w_battery|0
5|zombie|0:4,10:8,8:10,3:2,17:3,eatbody:4,eatbodystand=eatbody,pause=@0,idle1=@0,attack1=@2
6|houndeye|0:4,3:4,10:4,12:2,6:3,jumpwindow:5,idle1=@0
7|bullsquid|7:4,1:5,10:4,3:2,16:5,eat:4,idle=@0
8|hgrunt|11:4,1:8,18:6,4:2,35:3,idle1=@0,combatidle=@0,walk1=@1,divecover=@2
9|islave|0:4,4:4,12:4,13:2,19:3,grab:3,downup=grab,pushup=grab,updown=grab,jabber=grab,jibber=grab,idle1=@0
10|agrunt|0:4,2:4,19:4,6:2,25:3,idle1=@0,threat=@2
11|controller|15:4,16:4,0:4,6:2,18:3
12|barnacle|0:6,0:6,4:3,3:5,6:7
13|leech|3:4,0:4,2:4,3:2,6:3
14|roach|1:4,0:4
15|gman|0:2,6:2,0:2,0:2,0:2,listen:3,bigno:3,bigyes:3,idle01=@0,idlebrush=@0
16|garg|2:2,4:4,6:5,12:3,14:5
17|nihilanth|0:2,19:2,1:5,9:3,12:5
18|big_mom|0:4,2:6,9:6,10:4,4:8
19|icky|0:4,1:6,8:6,5:4,3:8
20|sentry|2:2,2:2,1:2,2:2,5:3
21|turret|2:3,2:3,1:3,2:2,5:3
22|miniturret|0:3,3:3,1:3,0:2,5:3
23|apache|0:6,0:6,0:6,0:6,0:6
24|boid|0:4,0:4
25|scientist|71:4,72:4,73:4,73:2,39:3,74:4,75:4
26|w_crowbar|0:1
27|w_9mmhandgun|0:1
28|w_357|0:1
29|w_9mmAR|0:1
30|w_shotgun|0:1
31|w_crossbow|0:1
32|w_rpg|0:1
33|w_gauss|0:1
34|w_egon|0:1
35|w_hgun|0:1
36|w_grenade|0:1
37|w_squeak|0:1
38|w_satchel|0:1
39|w_satchel|0:1
40|w_9mmclip|0:1
41|w_9mmARclip|0:1
42|w_shotbox|0:1
43|w_357ammobox|0:1
44|w_crossbow_clip|0:1
45|w_rpgammo|0:1
46|w_gaussammo|0:1
47|w_ARgrenade|0:1
48|w_medkit|0:1
49|w_longjump|0:1
50|tentacle2|0:2,0:2,7:4,5:3,48:2
51|hassassin|0:4,3:4,5:4,2:2,10:3
52|loader|idle:2,boxwalk:4,0:1,0:1,herodie:6,rampwalk:10,idle1=idle
53|forklift|idle2:4,0:1,0:1,0:1,0:1,patha:8,pathb:12,idle1=idle2
54|scientist|13:2,0:6,24:6,8:3,31:3,sitidle:2,sitstand:4,idle1=@0
55|zombie|0:2,10:8,8:10,3:3,17:3,eatbody:4,ventclimbidle:2,ventclimb:3,eatbodystand=eatbody,pause=@0,idle1=@0,attack1=@2
56|holo|troom_talkidle:4,walk:4,troom_quadjump:4,cjump_hole:4,crouch_hole:4,healthkit:4,longjump:4,kickup:4,idle1=@0
# Types 57-61: entities the campaign places but that had no cooked model at all.
# v_tripmine is a viewmodel whose bodygroup 3 is the world mine (blank hands +
# tripmine_boned_world), exactly what CTripmineGrenade::Spawn sets.
57|v_tripmine|body=3,7:1,7:1,7:1,7:1,7:1
58|w_squeak|0:2,3:4,3:2,0:1,0:1
59|baby_headcrab|0:4,4:4,10:4,6:2,7:3
60|bigrat|0:4,4:4,4:2,0:1,7:3
61|osprey|0:4,0:4,0:4,0:4,0:4
# Types 62-72: monster_generic / monster_furniture / cycler scenery props. Each
# is one authored pose; the five-clip layout is the runtime's fixed shape.
62|GIB_legbone|0:1,0:1,0:1,0:1,0:1
63|PELVIS|0:1,0:1,0:1,0:1,0:1
64|RIBCAGE|0:1,0:1,0:1,0:1,0:1
65|Riblet1|0:1,0:1,0:1,0:1,0:1
66|ZOMBIEGibs1|0:1,0:1,0:1,0:1,0:1
67|filecabinet|0:1,0:1,0:1,0:1,0:1
68|hair|0:1,0:1,0:1,0:1,0:1
69|fungus|0:1,0:1,0:1,0:1,0:1
70|fungus(small)|0:1,0:1,0:1,0:1,0:1
71|fungus(large)|0:1,0:1,0:1,0:1,0:1
72|pipe_bubbles|0:1,0:1,0:1,0:1,0:1
73|light|0:1,0:1,0:1,0:1,0:1
74|tree|0:2,0:2,0:2,0:2,0:2
75|can|0:1,0:1,0:1,0:1,0:1
